supabase\migrations\20260207182830_fix_deal_image_upload_rls.sql	"Trusted partners can delete own deal images"	storage.objects
supabase\migrations\20260207182830_fix_deal_image_upload_rls.sql	"Trusted partners can update own deal images"	storage.objects
supabase\migrations\20260207182830_fix_deal_image_upload_rls.sql	"Trusted partners can upload own deal images"	storage.objects
supabase\migrations\20260613020000_fix_businesses_rls_recursion.sql	"Admins can manage all businesses via JWT"	public.businesses
supabase\migrations\20260613020000_fix_businesses_rls_recursion.sql	"Authenticated users can create businesses"	public.businesses
supabase\migrations\20260613020000_fix_businesses_rls_recursion.sql	"Authenticated users can view all businesses"	public.businesses
supabase\migrations\20260613020000_fix_businesses_rls_recursion.sql	"Business owners can delete their business"	public.businesses
supabase\migrations\20260613020000_fix_businesses_rls_recursion.sql	"Business owners can update their business"	public.businesses
supabase\migrations\20260613020000_fix_businesses_rls_recursion.sql	"Service role can manage all businesses"	public.businesses
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can delete their own receipt images"	storage.objects
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can insert their own processed bills"	processed_bills
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can update their own processed bills"	processed_bills
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can update their own receipt images"	storage.objects
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can upload receipt images"	storage.objects
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can view receipt images"	storage.objects
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can view their own processed bills"	processed_bills
supabase\supabase\migrations\20250924165015_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can insert own trusted partner record"	public.trusted_partners
supabase\supabase\migrations\20250924165015_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can update own trusted partner record"	public.trusted_partners
supabase\supabase\migrations\20250924165015_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can view own trusted partner record"	public.trusted_partners
supabase\supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can delete their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can insert their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can update their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can view active discounts from all trusted partners"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can view their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can delete their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can insert their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can update their own discounts"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can view active discounts from all trusted partners"	public.trusted_partner_discounts
supabase\supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can view their own discounts"	public.trusted_partner_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can update own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can update own profile"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own membership"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own merchant record"	public.merchants
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own profile"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own user record"	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250916131000_create_missing_users_and_profile_policy.sql	allow_self_profile_insert	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250916131000_create_missing_users_and_profile_policy.sql	allow_self_profile_update	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917100000_fix_users_policy_recursion.sql	allow_self_users_insert	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917100000_fix_users_policy_recursion.sql	allow_self_users_select	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917100000_fix_users_policy_recursion.sql	allow_self_users_update	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917210000_create_payments_table.sql	"Admins can view all payments"	payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917210000_create_payments_table.sql	"Service role can manage payments"	payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917210000_create_payments_table.sql	"Users can insert their own payments"	payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917210000_create_payments_table.sql	"Users can view their own payments"	payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Service role can manage all businesses"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can delete their own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can insert their own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can update their own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can view their own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Service role can manage memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Users can insert their own memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Users can update their own memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Users can view their own memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Service role can manage memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Users can insert their own memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Users can update their own memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Users can view their own memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250919180000_add_trigger_insert_policies.sql	"Service role can insert profiles"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250919180000_add_trigger_insert_policies.sql	"Service role can manage memberships"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250919180000_add_trigger_insert_policies.sql	"Service role can manage profiles"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can delete their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can insert their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can update their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can view their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100002_add_offers_view_policy.sql	"Users can view active discounts from all merchants"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100003_add_business_offers_policy.sql	"Users can view business names for offers"	businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can delete their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can insert their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can update their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can view their own discounts"	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924081831_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can view own trusted partner record"	public.merchants
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924081831_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Trusted partners can update own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924081831_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Trusted partners can view own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Admins can view all payments"	public.payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Members can view own trusted partner record"	public.merchants
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Service role can manage payments"	public.payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Service role can manage renewals"	public.subscription_renewals
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Trusted partners can update own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Trusted partners can view own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can delete their own discounts"	public.merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can insert their own discounts"	public.merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can insert their own payments"	public.payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can insert their own QR codes"	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can insert their own subscriptions"	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can update own profile"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can update their own discounts"	public.merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can update their own QR codes"	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can update their own subscriptions"	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view own membership"	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view own profile"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view own user record"	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view their own discounts"	public.merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view their own payments"	public.payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view their own QR codes"	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view their own renewal history"	public.subscription_renewals
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	"Users can view their own subscriptions"	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924133431_update_role_terminology.sql	"Members can view own trusted partner record"	public.merchants
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924133431_update_role_terminology.sql	"Trusted partners can update own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924133431_update_role_terminology.sql	"Trusted partners can view own business"	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924140000_add_profile_insert_policy.sql	"Users can insert own profile"	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Service role can manage renewals"	public.subscription_renewals
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can insert their own QR codes"	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can insert their own subscriptions"	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can update their own QR codes"	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can update their own subscriptions"	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can view their own QR codes"	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can view their own renewal history"	public.subscription_renewals
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can view their own subscriptions"	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250926000000_automatic_qr_payment_management.sql	"Service role can manage payment schedules"	public.payment_schedules
supabase_backup_last_working_20250924_163328\supabase\migrations\20250926000000_automatic_qr_payment_management.sql	"Users can view their own payment schedules"	public.payment_schedules
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can delete their own receipt images"	storage.objects
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can insert their own processed bills"	processed_bills
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can update their own processed bills"	processed_bills
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can update their own receipt images"	storage.objects
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can upload receipt images"	storage.objects
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can view receipt images"	storage.objects
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	"Users can view their own processed bills"	processed_bills
targeted_rls_policy_cleanup.sql	"Anonymous can check profile existence"	profiles
targeted_rls_policy_cleanup.sql	"Users can delete own notifications"	notifications
targeted_rls_policy_cleanup.sql	"Users can insert own profile"	profiles
targeted_rls_policy_cleanup.sql	"Users can view own notifications"	notifications
targeted_rls_policy_cleanup.sql	"Users can view own profile"	profiles
trusted_partner_bank_accounts_rls_policies.sql	"Admins can update all bank accounts"
--	trusted_partner_bank_accounts
trusted_partner_bank_accounts_rls_policies.sql	"Admins can view all bank accounts"
--	trusted_partner_bank_accounts
trusted_partner_bank_accounts_rls_policies.sql	"Users can delete own bank accounts"	trusted_partner_bank_accounts
trusted_partner_bank_accounts_rls_policies.sql	"Users can insert own bank accounts"	trusted_partner_bank_accounts
trusted_partner_bank_accounts_rls_policies.sql	"Users can update own bank accounts"	trusted_partner_bank_accounts
trusted_partner_bank_accounts_rls_policies.sql	"Users can view own bank accounts"	trusted_partner_bank_accounts
ultimate_fix_notifications_rls.sql	"notifications_insert_public"	notifications
ultimate_fix_notifications_rls.sql	"notifications_select_own"	notifications
ultimate_fix_notifications_rls.sql	"notifications_update_own"	notifications
unified_schema_rls_policies.sql	"Authenticated can insert notifications for any user"	notifications
unified_schema_rls_policies.sql	"Authenticated members can create businesses"	businesses
unified_schema_rls_policies.sql	"Business owners can manage their discounts"	trusted_partner_discounts
unified_schema_rls_policies.sql	"Business owners can update their authorizations"	deal_authorizations
unified_schema_rls_policies.sql	"Business owners can update their business"	businesses
unified_schema_rls_policies.sql	"Business owners can view bills for their business"	processed_bills
unified_schema_rls_policies.sql	"Business owners can view their authorizations"	deal_authorizations
unified_schema_rls_policies.sql	"Members can insert their authorizations"	deal_authorizations
unified_schema_rls_policies.sql	"Members can insert their own bills"	processed_bills
unified_schema_rls_policies.sql	"Members can update their notifications"	notifications
unified_schema_rls_policies.sql	"Members can view all businesses"	businesses
unified_schema_rls_policies.sql	"Members can view all discounts"	trusted_partner_discounts
unified_schema_rls_policies.sql	"Members can view their authorizations"	deal_authorizations
unified_schema_rls_policies.sql	"Members can view their notifications"	notifications
unified_schema_rls_policies.sql	"Members can view their own bills"	processed_bills
verify_admin_deal_creation_permissions.sql	"Admins can create deals for authorized partners"	trusted_partner_discounts
verify_admin_deal_creation_permissions.sql	"Admins can upload deal images for authorized partners"	storage.objects
