create_calibration_receipts_table.sql	"Members can view active calibration receipts"	calibration_receipts
create_calibration_receipts_table.sql	"Service role can manage all calibration receipts"	calibration_receipts
create_deal_receipts_table.sql	"Members can view their own receipts"	public.deal_receipts
create_deal_receipts_table.sql	"System can insert receipts"	public.deal_receipts
create_deal_receipts_table.sql	"Trusted partners can view their business receipts"	public.deal_receipts
create_recovery_sessions_table.sql	"Anyone can insert recovery session"	public.recovery_sessions
create_recovery_sessions_table.sql	"Users can read own recovery sessions"	public.recovery_sessions
create_subscriptions_table.sql	"Admins can view all subscriptions"	public.subscriptions
create_subscriptions_table.sql	"Authenticated members can insert subscriptions"	public.subscriptions
create_subscriptions_table.sql	"Members can update their own subscriptions"	public.subscriptions
create_subscriptions_table.sql	"Members can view their own subscriptions"	public.subscriptions
deal_authorization_schema.sql	"Members can view receipts for their authorizations"	virtual_receipts
deal_authorization_schema.sql	"Members can view their own authorizations"	deal_authorizations
deal_authorization_schema.sql	"Members can view their own notifications"	notifications
deal_authorization_schema.sql	"Members can view their own receipts"	member_receipts
deal_authorization_schema.sql	"Trusted partners can update authorizations for their business"	deal_authorizations
deal_authorization_schema.sql	"Trusted partners can view authorizations for their business"	deal_authorizations
deal_authorization_schema.sql	"Trusted partners can view receipts for their authorizations"	virtual_receipts
enable_admin_view_all_tp_data.sql	"Admin can view all businesses"	businesses
enable_admin_view_all_tp_data.sql	"Admin can view all memberships"	memberships
enable_admin_view_all_tp_data.sql	"Admin can view all trusted partner discounts"	trusted_partner_discounts
enable_admin_view_all_tp_data.sql	"Admin can view all trusted partners"	trusted_partners
enable_admin_view_all_tp_data.sql	"Admin can view all user QR codes"	user_qr_codes
final_rls_refinements.sql	"Service role can insert archived members"	archived_members
fix_admin_chat_messages_policy.sql	chat_messages_insert	public.chat_messages
fix_admin_deal_creation_rls.sql	"Admins can manage deal images"	storage.objects
fix_admin_deal_creation_rls.sql	"Admins have full access to trusted_partner_discounts"	public.trusted_partner_discounts
